,Price,Address,Locality,Beds,Area,Full Baths,Half Bath,Lot Size,Hals baths
0,"$725,000",0 Gateway,"Rock Springs, WY 82901",,,,,,
1,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4,,4,,Lot Size: ,
2,"$396,900",600 Talladega,"Rock Springs, WY 82901",5,"3,154",3,,,
3,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4,"3,076",3,,Lot Size: ,1
4,"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3,"1,172",3,,Lot Size: ,
5,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4,"1,932",2,,Lot Size: ,
6,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4,"1,676",3,,Lot Size: ,
7,"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3,"1,344",2,,Lot Size: ,
8,"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3,"1,920",2,,Lot Size: ,
9,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3,"1,664",2,,Lot Size: ,
